,Names,RA,DEC,Redshift
392,2MASX J01140661-1245384,18.52764,-12.76075,0.041329
393,2MASX J01141571+1538129,18.56549,15.63692,0.042766
394,2MASX J01142273-1638213,18.59479,-16.63928,0.038156
395,2MASX J01142388-1522173,18.59954,-15.37153,0.045151
396,2MASX J01142572-1321473,18.60721,-13.36319,0.045258
397,2MASX J01144386+0017100,18.68276,0.28601,0.045185
398,2MASX J01145631-0911107,18.73449,-9.18636,0.043749
399,2MASX J01150400-5338591,18.76692,-53.64978,0.053097
400,2MASX J01150688-1351464,18.77887,-13.86293,0.050688
401,2MASX J01152596-3145210,18.85825,-31.75583,0.017782
402,2MASX J01154295-1431043,18.929,-14.51783,0.051265
403,2MASX J01154476+0019595,18.93629,0.33242,0.044778
404,2MASX J01154483+0014005,18.93688,0.23333,0.044337
405,2MASX J01155159+1511482,18.96499,15.1967,0.054708
406,2MASX J01155228-0122063,18.96769,-1.36862,0.038443
407,2MASX J01155525-1546513,18.98017,-15.78094,0.045585
408,2MASX J01161049-1748205,19.04379,-17.80567,0.049191
409,2MASX J01161066-1510325,19.04449,-15.17562,0.044331
410,2MASX J01161269+0047265,19.05295,0.79055,0.086603
411,2MASX J01161688-6323056,19.07017,-63.38483,0.040198
412,2MASX J01163008-1555081,19.12523,-15.91877,0.041319
413,2MASX J01163022-1604121,19.12592,-16.07003,0.052179
414,2MASX J01163077-1551351,19.12825,-15.85986,0.04289
415,2MASX J01170423-4659188,19.26758,-46.98858,0.052009
416,2MASX J01171327-1606006,19.30533,-16.10008,0.045391
417,2MASX J01171704-1416356,19.321,-14.27661,0.044187
418,2MASX J01175267-3558103,19.46946,-35.96953,0.050105
419,2MASX J01180073-1655435,19.50308,-16.92881,0.01979
420,2MASX J01180192+0018525,19.50816,0.31447,0.041709
421,2MASX J01180282-0134199,19.51171,-1.57234,0.039861
422,2MASX J01181077-1354015,19.54488,-13.9005,0.05315
423,2MASX J01181298-0104226,19.55409,-1.07302,0.044246
424,2MASX J01185303-0039354,19.72083,-0.65983,0.048268
425,2MASX J01185449-0040594,19.72696,-0.68321,0.045595
426,2MASX J01190316-0114014,19.76306,-1.23368,0.044994
427,2MASX J01190434-0017330,19.76817,-0.29252,0.078124
428,2MASX J01191145-1352324,19.79781,-13.87559,0.040785
429,2MASX J01191347-0108400,19.80623,-1.14443,0.046702
430,2MASX J01191947-1638274,19.83107,-16.64108,0.020217
431,2MASX J01200158-0008156,20.00678,-0.13757,0.042641
432,2MASX J01201240-0458033,20.05171,-4.96761,0.047586
433,2MASX J01203610-2101035,20.15054,-21.01748,0.05317
434,2MASX J01204229+0121336,20.17625,1.35931,0.017462
435,2MASX J01204815-4304584,20.20067,-43.08289,0.047726
436,2MASX J01205820-1430352,20.24267,-14.50967,0.050498
437,2MASX J01211266-1424152,20.30302,-14.40437,0.050708
438,2MASX J01211459-0410162,20.31084,-4.17112,0.043443
439,2MASX J01220985-0752292,20.54093,-7.87481,0.042579
440,2MASX J01222731-0218148,20.61375,-2.30406,0.053283
441,2MASX J01231180-2029133,20.7992,-20.48715,0.05259
442,2MASX J01231555-2032555,20.815,-20.54893,0.052436
443,2MASX J01232367+0146051,20.84867,1.76806,0.031765
444,2MASX J01232928-0031570,20.87198,-0.53255,0.027591
445,2MASX J01234900-1542350,20.95404,-15.70989,0.044104
446,2MASX J01234921-1648310,20.95502,-16.80852,0.043163
447,2MASX J01240432-0315356,21.01814,-3.25996,0.053941
448,2MASX J01243736-0946015,21.15581,-9.76699,0.037116
449,2MASX J01244090-2134079,21.17046,-21.56889,0.02919
