,D (Mpc),H,M,P,Q,j2000,meas,objname
136,0.701470817101963,0.028274718145236053,0.05764877145951276,0.05917786265057094,0.06736556873019339,J003634.8+493848,2,ANDROMEDA30                   
137,16.31496073051886,1.354397454797871,2.4035134541397887,2.1001287431333386,4.200913725234256,J132729.5-381039,2,ESO324-023                    
138,39.07477775001633,3.154932563220933,6.205873915804129,6.242385594851032,8.562775943035234,J225500.9-393941,2,NGC7410                       
139,38.02273361475191,2.8188902812264356,5.848705109217919,6.015684041154991,6.609716235440171,J232620.0-175723,2,IC5321                        
140,17.139573075084254,0.0,0.0,4.266725321311474,0.0,J120229.2+622502,1,UGC07019                      
141,88.83497317003048,6.483121191878792,13.262702927316294,13.982347775792999,13.988006354646974,J235120.9+490442,2,UGC12814                      
142,20.097098917783782,2.732905608388921,2.7760095539117566,1.9902803322692793,2.3704717357771177,J225636.7-361459,4,IC5269B                       
143,32.514687198296976,2.424251279897945,4.954539164539313,5.131012240805559,5.334662057698118,J214804.1-364623,2,ESO403-031                    
144,23.87409218495114,1.780979586336894,3.57018632669016,3.7625453159244895,3.8169791789224314,J152608.0-221657,2,ESO582-012                    
145,32.31003892813586,2.5424497971630244,4.59232463629378,4.161461862188802,7.69589213282946,J221643.3-470708,2,ESO289-010                    
146,0.7888952299207882,0.042127779591235856,0.05825446202199295,0.04835671892076877,0.05008365623944518,J000730.7+350746,2,ANDROMEDA20                   
147,32.35936569296281,0.0,0.0,5.967067033782342,0.0,J054315.0-183832,1,ESO554-028                    
148,56.65526399602795,4.105733610966426,8.523355279430897,8.972725097092948,9.658388727894922,J114354.3+104705,2,NGC3839                       
149,33.57376142429552,0.0,0.0,8.357852168964127,0.0,J070149.6+045508,1,UGC03637                      
150,14.655478409559098,0.0,0.0,3.648334795275642,0.0,J123537.7-075237,1,PGC041965                     
151,58.02234852381614,4.3102615882629305,8.648298192988538,9.073541318378616,9.366311172390638,J020844.5+384638,2,NGC0818                       
152,0.8981454780157756,0.04680500089907559,0.0644697498659842,0.053166403884749504,0.06813228543798547,J001932.1+350237,2,ANDROMEDA19                   
153,63.767869062097745,4.70734229311867,9.577939354899987,10.036449412035033,10.040511107633124,J020825.0+142058,2,NGC0820                       
154,239.98405883485526,31.139827167952298,20.47340117769201,2.62992342740234,25.567585601750324,J111030.3+551012,4,UGC06211                      
155,70.25081265525931,7.759795682352321,6.3531047208168845,0.3044292124566894,3.1098110483573245,J010723.8+322413,6,NGC0382                       
156,58.37547213075931,4.257126470928611,8.809571518075623,9.155423972653155,9.214527585663253,J094843.6+440453,2,NGC2998                       
157,5701.642722807478,0.0,0.0,2391.8961386449655,0.0,J045830.2-031604,1,H-ZSNSJ045830.23-031604.0     
158,24.93341689084491,3.8064565251555984,3.8012276277583075,2.380716334218279,4.234202318730839,J221455.8-665058,4,IC5176                        
159,22.969100779312747,1.6710869854100114,3.4177519581918028,3.613605642188488,3.6267460697026337,J164622.0+702132,2,NGC6237                       
160,30.90295432513592,0.0,0.0,7.692981449699336,0.0,J041033.0-071007,1,PGC014600                     
161,38.38569290629384,4.572074538824159,5.558329546587668,4.621709723205761,5.361907232061303,J072220.0+171713,3,UGC03820                      
162,32.115751775401,4.30127519644052,5.005821812706443,3.830023971402179,5.6953089179593634,J143533.3+125430,3,UGC09389                      
163,35.39864710615313,2.683488625145266,5.433074398877043,5.608232392968401,6.375276503673466,J072250.5-620144,2,ESO123-009                    
