,names,meas,bootmad,bootmsig,bootmother
431,MCG -01-03-041,3,7.240212864436298,4.1489672009673315,4.24920795831136
432,NGC 0317A,2,13.276262089749329,9.560377104775467,10.848196365346242
433,2MASX J00574158-0118438,3,16.362603788977548,10.310438544739675,9.414165548221588
434,NGC 0325,4,12.240743699636877,5.240319922147937,9.533629448261633
435,NGC 0315,2,9.87612689859135,6.942301063262455,8.380464883875101
436,NGC 0327,12,9.552785034556047,2.807551664562553,8.800795396876152
437,6dF J0057599-012509,3,20.586353439461977,12.11763974800884,12.163976361793384
438,CGCG 501-055,4,6.787267328750446,2.985862646028322,4.72299132521387
439,NGC 0329,3,7.463190296597824,4.266462994410172,4.010150541996613
440,MCG -03-03-010,4,12.889626591492593,5.542281392171653,8.396128351888134
441,ESO 351- G 025,3,13.441206037622653,7.698805919050398,7.900786387924239
442,UGC 00600,4,12.766367602975667,5.602304878238172,8.762797986794084
443,UGC 00604,3,16.93684304558075,12.12617850054554,12.054522661377646
444,NGC 0334,5,14.994541362963208,8.01110086546303,12.907120181859277
445,UGC 00610,2,22.2182005984613,15.395549911577314,19.340660871163063
446,2MASX J00585745-0039197,3,37.98159543518072,24.846634727576536,24.912199513189524
447,ESO 541- G 004,19,4.716766574716136,1.2597019330072854,4.514341695730666
448,2MASX J00585904-0202377,3,41.150011817811695,24.69123524787972,24.8104831424869
449,UGC 00612,4,9.527701587787222,4.011155070325941,6.515429641941114
450,UGC 00608,2,4.7288753176256515,3.10020143324997,3.4358933483762817
451,2MASX J00591051-0153577,3,19.270848672137753,11.986769845343497,10.970619478932901
452,ESO 541- G 005,2,6.147575559978411,4.017938831143649,4.531398610365052
453,ARP 121 NED01,5,12.246151646092802,6.152582174827166,9.01711764594381
454,ESO 351- G 028,8,8.04072060733115,2.796596065129228,7.388696428788737
455,UGC 00614,6,6.309056261410639,2.366224143742929,5.10713259872436
456,UGC 00615,4,11.946954350024019,5.340250142851779,9.135860980028145
457,UGC 00619,4,21.832647953980295,9.36057302379807,15.933499194655157
458,NGC 0337,20,2.7664057677761615,0.7016688492297021,2.6527637584065387
459,ESO 541- G 008,3,15.2703068827172,10.0772827630379,10.1503966224171
460,UGC 00622,10,5.815208135073982,2.113713111543001,5.411891216093165
461,IC 0066,12,10.703296828293263,3.1999918512999774,9.894811363436855
462,NGC 0340,4,12.266316929181896,5.060666574947526,8.220256076901984
463,NGC 0338,18,9.176844012778382,2.402736900997496,8.805547908714384
464,ESO 002- G 012,6,6.970691805306409,2.880124301318196,5.852513403454699
